name,full_path,relative_path,directory,extension,size_bytes,size_mb,modified_date,created_date,ai_tags
Anim_Okay_Next.rar,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next.rar,Anim_Okay_Next.rar,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO,.rar,17357570,16.553,2023-12-15 17:41:55,2025-05-26 20:38:50,"Архив, большой, архив, маленький, старый, учеба, бэкап"
Tescao_Cleap_Grishe.rar,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Tescao_Cleap_Grishe.rar,Tescao_Cleap_Grishe.rar,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO,.rar,15913751,15.177,2023-12-07 17:59:04,2025-05-26 20:38:50,"Архив, документ, большой, архив, маленький, старый, личное"
AsiaTes_head01.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\AsiaTes_head01.FBX,AsiaTes_head01.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO,.fbx,11275760,10.753,2024-01-22 10:47:06,2025-05-26 21:44:35,"физический файл, большой, азиатская тестовая голова, работа, маленький, старый, 3D-модель"
AS_BakedWorld.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\AS_BakedWorld.FBX,AS_BakedWorld.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO,.fbx,22769184,21.714,2024-01-19 16:45:14,2025-05-26 21:44:36,"Модель, анимация, фантазия, маленький, старый, 3D, игровая"
AS_BakedWorld_Bones.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\AS_BakedWorld_Bones.FBX,AS_BakedWorld_Bones.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO,.fbx,20276560,19.337,2024-01-22 12:55:46,2025-05-26 21:44:36,"игра, костяные анимации, Модель, маленький, старый, анимация, 3D"
Born_Teskao_03_Re_v01.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Born_Teskao_03_Re_v01.fbx,Born_Teskao_03_Re_v01.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO,.fbx,1679328,1.602,2023-08-10 11:37:30,2025-05-26 20:35:18,"средний., Модель, анимация, работа, маленький, старый, 3D"
Clean_born_03_v02.mb,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Clean_born_03_v02.mb,Clean_born_03_v02.mb,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO,.mb,41755924,39.822,2023-08-11 17:21:41,2025-05-26 20:35:18,"Документ, большой, работа, маленький, старый, Maya., 3D-модель"
Door_Teskao_04_Re.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Door_Teskao_04_Re.fbx,Door_Teskao_04_Re.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO,.fbx,1997392,1.905,2023-08-10 10:22:44,2025-05-26 20:35:18,"дизайн., Модель, работа, маленький, старый, дверь, 3D"
Hand_Teskao_02_Re.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Hand_Teskao_02_Re.fbx,Hand_Teskao_02_Re.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO,.fbx,941184,0.898,2023-08-10 11:51:23,2025-05-26 20:35:18,"Модель, анимация, работа, маленький, старый, формат FBX, 3D"
Hand_Teskao_03_Re.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Hand_Teskao_03_Re.fbx,Hand_Teskao_03_Re.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO,.fbx,938112,0.895,2023-08-10 10:55:09,2025-05-26 20:35:18,"средний., Модель, работа, маленький, старый, анимация, трехмерная"
Hand_Teskao_04_Re.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Hand_Teskao_04_Re.fbx,Hand_Teskao_04_Re.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO,.fbx,956832,0.913,2023-08-10 11:40:25,2025-05-26 20:35:18,"Модель, анимация, работа, маленький, старый, 3D"
Metelitsa_Ladder_04_Re.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Metelitsa_Ladder_04_Re.fbx,Metelitsa_Ladder_04_Re.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO,.fbx,1132128,1.08,2023-08-10 09:52:52,2025-05-26 20:35:18,"дизайн, Модель, лестница, маленький, старый, трехмерный, интерьер."
MH_CharacterDefinition.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\MH_CharacterDefinition.fbx,MH_CharacterDefinition.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO,.fbx,251264,0.24,2024-01-29 11:11:55,2025-05-26 21:44:36,"игра, Модель, анимация, маленький, старый, персонаж, 3D"
Prohod_Teskao_02_Re.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Prohod_Teskao_02_Re.fbx,Prohod_Teskao_02_Re.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO,.fbx,1900880,1.813,2023-08-10 09:48:15,2025-05-26 20:35:18,"средний., Модель, анимация, работа, маленький, старый, 3D"
Prohod_Teskao_03_Re.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Prohod_Teskao_03_Re.fbx,Prohod_Teskao_03_Re.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO,.fbx,1425312,1.359,2023-08-10 09:53:52,2025-05-26 20:35:18,"средний., Модель, анимация, работа, маленький, старый, 3D"
S12_Export_CRIG_v3_bones_clean.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\S12_Export_CRIG_v3_bones_clean.FBX,S12_Export_CRIG_v3_bones_clean.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO,.fbx,6046624,5.767,2024-01-29 15:49:59,2025-05-26 21:44:36,"медицинский, маленький, старый, костяшки, анимация, обучение, 3D модель"
S12_Export_CRIG_v4.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\S12_Export_CRIG_v4.FBX,S12_Export_CRIG_v4.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO,.fbx,470607072,448.806,2024-01-29 17:11:27,2025-05-26 21:44:36,"большой, средний, старый, профессиональное, визуализация., анимация, 3D модель"
S12_Export_CRIG_v5.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\S12_Export_CRIG_v5.FBX,S12_Export_CRIG_v5.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO,.fbx,470969072,449.151,2024-01-29 18:10:26,2025-05-26 21:44:41,"средний, старый, профессиональное, формат FBX, 3D-модель, анимация, крупный"
S12_Export_CRIG_v5_bone_clean.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\S12_Export_CRIG_v5_bone_clean.FBX,S12_Export_CRIG_v5_bone_clean.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO,.fbx,6535680,6.233,2024-01-29 18:19:21,2025-05-26 21:44:45,"большой, работа, маленький, старый, важный, 3D-модель, анимация"
S81_Export_CRIG_V10.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\S81_Export_CRIG_V10.FBX,S81_Export_CRIG_V10.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO,.fbx,49190640,46.912,2024-01-29 11:12:51,2025-05-26 21:44:45,"большой, маленький, старый, проект, важный, анимация, 3D модель"
S81_Export_CRIG_V11_bone_clean.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\S81_Export_CRIG_V11_bone_clean.FBX,S81_Export_CRIG_V11_bone_clean.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO,.fbx,6688992,6.379,2024-01-29 18:38:01,2025-05-26 21:44:46,"большой, работа, маленький, старый, костяной., анимация, 3D модель"
SK_Tescao_Full_Body_DRV.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\SK_Tescao_Full_Body_DRV.FBX,SK_Tescao_Full_Body_DRV.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO,.fbx,76431712,72.891,2023-08-17 17:39:10,2025-05-26 20:35:18,"дизайн, Модель, анимация, маленький, старый, файл, 3D"
Teskao_Mesh.zip,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Teskao_Mesh.zip,Teskao_Mesh.zip,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO,.zip,99373392,94.77,2023-08-17 18:01:11,2025-05-26 20:35:19,"Архив, большой, архив, маленький, старый, работа, бэкап"
Tes_body_Kurtka.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Tes_body_Kurtka.FBX,Tes_body_Kurtka.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO,.fbx,7785392,7.425,2024-01-22 10:48:12,2025-05-26 21:44:46,"Мода, Модель, маленький, старый, Куртка, 3D, Одежда"
Turn_Teskao_03_Re.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Turn_Teskao_03_Re.fbx,Turn_Teskao_03_Re.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO,.fbx,1342128,1.28,2023-08-10 10:47:52,2025-05-26 20:35:20,"Модель, работа, маленький, старый, трехмерный, формат FBX, анимация"
Turn_Teskao_04_Re.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Turn_Teskao_04_Re.fbx,Turn_Teskao_04_Re.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO,.fbx,1481408,1.413,2023-08-10 10:53:33,2025-05-26 20:35:20,"средний., Модель, анимация, работа, маленький, старый, 3D"
Tutor_cleap.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Tutor_cleap.fbx,Tutor_cleap.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO,.fbx,9603088,9.158,2024-01-23 09:40:57,2025-05-26 21:44:46,"обучение., Модель, анимация, маленький, старый, учеба, 3D"
T_Pose_config.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\T_Pose_config.FBX,T_Pose_config.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO,.fbx,30906160,29.474,2024-01-29 11:12:53,2025-05-26 21:44:46,"анимационный., Модель, маленький, старый, анимация, 3D, игровая"
Wear_Teskao_05_Re.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Wear_Teskao_05_Re.fbx,Wear_Teskao_05_Re.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO,.fbx,1394240,1.33,2023-08-10 10:32:49,2025-05-26 20:35:20,"средний размер, Модель, работа, маленький, старый, одежда, трехмерная"
Сидит_поза_лотуса.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Сидит_поза_лотуса.FBX,Сидит_поза_лотуса.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO,.fbx,11846720,11.298,2024-01-18 18:36:32,2025-05-26 21:42:26,"физическое упражнение, маленький, старый, медитация, 3D-модель, анимация, йога"
222_3_Audio.WAV,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Audio\222_3_Audio.WAV,Audio\222_3_Audio.WAV,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Audio,.wav,714796,0.682,2024-03-11 17:00:39,2025-05-26 20:37:21,"запись., Аудиофайл, маленький, учеба, старый, небольшой, аудио"
TES_Body_INTRO_v01.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Body_Animation\TES_Body_INTRO_v01.fbx,Body_Animation\TES_Body_INTRO_v01.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Body_Animation,.fbx,4220064,4.025,2024-03-21 15:52:03,2025-05-26 20:37:21,"средний, работа, маленький, старый, вводный, анимация, 3D модель"
MH_CharacterDefinition.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\definition\MH_CharacterDefinition.fbx,definition\MH_CharacterDefinition.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\definition,.fbx,251264,0.24,2024-03-12 14:23:25,2025-05-26 20:37:21,"Модель, анимация, игра., маленький, старый, персонаж, 3D"
